Title,Rank,Year,Rating,Runtime,Genre,Certificate,Metascore,Votes,Description
Spider-Man: Across the Spider-Verse,1,2023,8.6,140,"Animation, Action, Adventure",PG,86,"320,793","Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Oppenheimer,2,I) (2023,8.4,180,"Biography, Drama, History",R,89,"568,407",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Kelce,3,2023,8.2,103,"Documentary, Sport",-1,-1,"2,114","Highlights Kelce's 2022-23 season, which started with him having to make one of the hardest decisions a professional athlete would ever have to make: Is it time to retire yet?"
The Holdovers,4,2023,8,133,"Comedy, Drama",R,82,"31,807",A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go.
Guardians of the Galaxy Vol. 3,5,2023,7.9,150,"Action, Adventure, Comedy",PG-13,64,"355,855","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Killers of the Flower Moon,6,2023,7.8,206,"Crime, Drama, History",R,89,"139,195","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
Mission: Impossible - Dead Reckoning Part One,7,2023,7.7,163,"Action, Adventure, Thriller",PG-13,81,"206,295",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
John Wick: Chapter 4,8,2023,7.7,169,"Action, Crime, Thriller",R,78,"311,134","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
Sound of Freedom,9,2023,7.7,131,"Biography, Crime, Drama",PG-13,36,"92,608",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.
The Covenant,10,2023,7.5,123,"Action, Drama, Thriller",R,63,"146,028","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
Air,11,I) (2023,7.4,111,"Drama, Sport",R,73,"154,873","Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
Tetris,12,2023,7.4,118,"Biography, Drama, History",R,61,"75,810","The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pazhitnov join forces in the USSR, risking it all to bring it to the masses."
Saltburn,13,2023,7.3,131,"Comedy, Drama, Thriller",R,61,"46,039","A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
Dungeons & Dragons: Honor Among Thieves,14,2023,7.3,134,"Action, Adventure, Comedy",PG-13,72,"208,440","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
Stephen Curry: Underrated,15,2023,7.3,110,"Documentary, Biography, Sport",PG-13,69,"3,789","The coming-of-age story of Stephen Curry, from an undersized basketball player at a small college, to becoming a larger-than-life NBA superstar."
Gran Turismo,16,2023,7.2,134,"Action, Adventure, Drama",PG-13,48,"70,337","Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world."
Teenage Mutant Ninja Turtles: Mutant Mayhem,17,2023,7.2,99,"Animation, Action, Adventure",PG,74,"53,487",The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.
The Little Mermaid,18,I) (2023,7.2,135,"Adventure, Family, Fantasy",PG,59,"148,189",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
BS High,19,2023,7.2,95,Documentary,TV-MA,65,"1,292","Follows the investigation which occurred when the Bishop Sycamore Centurions, a presumed high school football team from Columbus, Ohio, took on perennial prep powerhouse, IMG Academy."
Talk to Me,20,I) (2022,7.1,95,"Horror, Thriller",R,76,"114,673","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces."
Nyad,21,2023,7.1,121,"Biography, Drama, Sport",PG-13,64,"14,628","The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida."
The Burial,22,II) (2023,7.1,126,Drama,R,74,"26,857","Inspired by true events, a lawyer helps a funeral home owner save his family business from a corporate behemoth, exposing a complex web of race, power, and injustice."
Missing,23,I) (2023,7.1,111,"Drama, Mystery, Thriller",PG-13,66,"54,631","After her mother goes missing, a young woman tries to find her from home, using tools available to her online."
The Hunger Games: The Ballad of Songbirds & Snakes,24,2023,7,157,"Action, Adventure, Drama",PG-13,54,"69,739",Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
May December,25,2023,7,117,"Comedy, Drama",R,85,"24,972","Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past."
The Super Mario Bros. Movie,26,2023,7,92,"Animation, Adventure, Comedy",PG,46,"216,892","A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
Elemental,27,2023,7,101,"Animation, Adventure, Comedy",PG,58,"105,881","Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together."
Extraction II,28,2023,7,122,"Action, Thriller",R,57,"137,767","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission."
Flora and Son,29,2023,7,97,"Comedy, Music, Romance",R,76,"10,151","A single mom at war with her son is trying to find a hobby for him. One day, she rescues a guitar from a dumpster."
Sly,30,2023,7,95,"Documentary, Biography",R,62,"9,311","The nearly fifty year prolific career of Sylvester Stallone, who has entertained millions, is seen in retrospective in an intimate look of the actor, writer, director-producer, paralleling with his inspirational life story."
Barbie,31,I) (2023,6.9,114,"Adventure, Comedy, Fantasy",PG-13,80,"434,968",Barbie suffers a crisis that leads her to question her world and her existence.
Dumb Money,32,2023,6.9,105,"Biography, Comedy, Drama",R,66,"22,471",David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.
Sisu,33,2022,6.9,91,"Action, War",R,70,"64,644","When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him."
Maestro,34,2023,6.8,129,"Biography, Drama, Music",R,77,"20,548",This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.
The Creator,35,2023,6.8,133,"Action, Adventure, Drama",PG-13,63,"101,191","Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
The Killer,36,2023,6.8,118,"Action, Adventure, Crime",R,73,"147,285","After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal."
Reptile,37,2023,6.8,134,"Crime, Drama, Mystery",R,52,"74,794","Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life."
The Equalizer 3,38,2023,6.8,109,"Action, Crime, Thriller",R,58,"80,871","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
Somewhere in Queens,39,2022,6.8,106,"Comedy, Drama, Sport",R,61,"3,954","Leo and Angela Russo live a simple life in Queens, surrounded by their overbearing Italian-American family. When their son 'Sticks' finds success on his high-school basketball team, Leo tears the family apart trying to make it happen."
Champions,40,2023,6.8,124,"Comedy, Drama, Sport",PG-13,50,"22,999","A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined."
Wildflower,41,2022,6.8,105,"Comedy, Drama",R,52,"2,972",A girl navigates life with two intellectually-disabled parents and an extended family that can't quite agree on the best way to help.
Love at First Sight,42,I) (2023,6.8,91,"Drama, Romance",PG-13,-1,"27,682",A teenage girl misses her flight at JFK Airport and meets a young British guy who may turn out to be her true love.
The Flash,43,I) (2023,6.7,144,"Action, Adventure, Fantasy",PG-13,55,"193,377","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
Creed III,44,2023,6.7,116,"Drama, Sport",PG-13,73,"88,019","Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight."
Reality,45,I) (2023,6.7,83,Drama,TV-MA,84,"15,113",A former American intelligence specialist was given the longest sentence for the unauthorized release of government information to the media about Russian interference in the 2016 United States elections via an email operation.
Sharper,46,2023,6.7,116,"Crime, Drama, Thriller",R,65,"27,951","Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires."
Indiana Jones and the Dial of Destiny,47,2023,6.6,154,"Action, Adventure, Sci-Fi",PG-13,58,"168,887",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
To Catch a Killer,48,2023,6.6,119,"Action, Crime, Drama",R,43,"31,959",Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.
Big George Foreman,49,2023,6.6,129,"Biography, Drama, Sport",PG-13,45,"7,315","Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit."
Leave the World Behind,50,2023,6.5,138,"Drama, Mystery, Thriller",R,68,"122,645","A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door."
Thanksgiving,51,I) (2023,6.5,106,"Horror, Mystery, Thriller",R,63,"22,997","After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday."
A Haunting in Venice,52,2023,6.5,103,"Crime, Drama, Horror",PG-13,63,"88,851","In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer."
Pain Hustlers,53,2023,6.5,123,"Crime, Drama",R,44,"33,647","Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy."
Next Goal Wins,54,2023,6.5,104,"Comedy, Drama, Sport",PG-13,44,"4,049","The story of the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0."
Totally Killer,55,2023,6.5,106,"Comedy, Horror",R,62,"42,726","When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start."
Scream VI,56,2023,6.5,122,"Horror, Mystery, Thriller",R,61,"113,200","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City."
Plane,57,2023,6.5,107,"Action, Adventure, Thriller",R,62,"72,956",A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.
Boston Strangler,58,2023,6.5,112,"Crime, Drama, History",R,58,"30,772",Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.
